"project","github_repo","debian_sources","homebrew_formulas","debian_avg_downloads","homebrew_avg_downloads","downloads_score","is_cpp","is_oss_fuzz"
"libunistring","","libunistring","libunistring","20077","1618694","1646601","True","False"
"icu","unicode-org/icu","icu","icu4c@75|icu4c@76|icu4c@77|icu4c@78","40372","1587966","1644083","True","True"
"libjxl","libjxl/libjxl","jpeg-xl","jpeg-xl","14334","1621571","1641495","True","True"
"libwebp","","libwebp","webp","131256","1453192","1635637","True","False"
"aom","","aom","aom","69761","1485175","1582142","True","False"
"libxcb","","libxcb","libxcb","227837","1227499","1544192","True","False"
"mpdecimal","","mpdecimal","mpdecimal","111","1496913","1497067","True","False"
"libxau","","libxau","libxau","227983","1129290","1446186","True","False"
"gcc","","gcc-12|gcc-13|gcc-14|libiberty","gcc","230118","1109102","1428966","True","False"
"libuv","libuv/libuv","libuv1","libuv","139346","1232141","1425831","True","False"
"brotli","google/brotli","brotli","brotli","177778","1156315","1403426","True","True"
"krb5","","krb5","krb5","229140","1056264","1374768","True","False"
"cmake","Kitware/CMake","cmake","cmake|cmake-docs","27060","1332849","1370462","True","False"
"libxext","","libxext","libxext","227097","1047804","1363468","True","False"
"pango","","pango1.0","pango","161379","1136114","1360430","True","False"
"pixman","","pixman","pixman","169887","1123316","1359458","True","False"
"curl","","curl|libcurl3-gnutls","curl","202088","1060193","1341095","True","False"
"ffmpeg","","ffmpeg","ffmpeg|ffmpeg@4|ffmpeg@6","49970","1266137","1335595","True","False"
"libxdmcp","","libxdmcp","libxdmcp","227996","978297","1295211","True","False"
"c-ares","c-ares/c-ares","c-ares","c-ares","40850","1237988","1294769","True","True"
"ncurses","","ncurses","ncurses","230113","964676","1284533","True","False"
"libtool","","libtool","libtool","179341","1032999","1282282","True","False"
"p11-kit","p11-glue/p11-kit","p11-kit","p11-kit","227578","965128","1281461","True","True"
"pyenv","pyenv/pyenv","","pyenv","0","1267218","1267218","True","False"
"openexr","AcademySoftwareFoundation/openexr","openexr","openexr","54572","1181137","1256992","True","True"
"wget","","wget|wget2","wget","226288","939560","1254100","True","False"
"cairo-graphics-library","","cairo","cairo","168977","1015615","1250493","True","False"
"nettle","","nettle","nettle","131546","1036662","1219510","True","False"
"zlib","","zlib","minizip|zlib","230123","890331","1210201","True","False"
"gdbm","","gdbm","gdbm","173519","968923","1210114","True","False"
"xorgproto","","","xorgproto","0","1206438","1206438","True","False"
"openjdk","openjdk/jdk25u","","openjdk|openjdk@11|openjdk@17|openjdk@21|openjdk@8","0","1196957","1196957","True","False"
"libxrender","","libxrender","libxrender","174911","944970","1188096","True","False"
"github-cli","cli/cli","","gh","0","1169690","1169690","False","False"
"giflib","","giflib","giflib","110978","963324","1117583","True","False"
"libtasn1","","libtasn1-6","libtasn1","222853","796456","1106221","True","False"
"gnupg","","gnupg2","gnupg","228528","759991","1077644","True","False"
"imath","AcademySoftwareFoundation/Imath","imath","imath","49172","1008002","1076351","True","False"
"protobuf","google/protobuf","protobuf","protobuf|protobuf@21|protobuf@29","34803","1003974","1052350","True","False"
"imagemagick","","imagemagick","imagemagick|imagemagick@6","74274","945142","1048382","True","False"
"go","","","go|go@1.22","0","1047691","1047691","True","False"
"m4","","m4","m4","77602","926897","1034763","True","False"
"sdl2","libsdl-org/SDL","libsdl2","sdl2","103367","865257","1008937","True","False"
"coreutils","","coreutils","coreutils","230128","687007","1006884","True","False"
"openldap","","openldap","openldap","207896","697337","986312","True","False"
"openjpeg","uclouvain/openjpeg","openjpeg2","openjpeg","145281","783774","985714","True","True"
"libevent","libevent/libevent","libevent","libevent","97074","850595","985527","True","True"
"highway-simd-library","google/highway","highway","highway","39775","912315","967602","True","False"
"fribidi","fribidi/fribidi","fribidi","fribidi","165046","737907","967320","True","True"
"postgresql","","postgresql-17","libpq|postgresql@12|postgresql@13|postgresql@14|postgresql@15|postgresql@16|postgresql@17","86385","836096","956171","True","False"
"graphite2","silnrsi/graphite","graphite2","graphite2","165249","710634","940330","True","False"
"tesseract-ocr","tesseract-ocr/tesseract","tesseract","tesseract","11587","913768","929873","True","True"
"libgpg-error","","libgpg-error","libgpg-error","228979","603556","921836","True","False"
"libssh2","","libssh2","libssh2","206863","621327","908866","True","False"
"lzo","","lzo2","lzo","137979","700894","892684","True","False"
"libarchive","","libarchive","libarchive","117632","696702","860210","True","False"
"mpfr","","mpfr4","mpfr","156814","638726","856697","True","False"
"ruby-build","rbenv/ruby-build","","ruby-build","0","846438","846438","True","False"
"libxml2","","libxml2","libxml2","228070","520962","837979","True","False"
"librsvg","","librsvg","librsvg","150447","615170","824291","True","False"
"ruby","","ruby3.3","ruby|ruby@3.1","7558","802348","812853","True","False"
"libffi","libffi/libffi","libffi","libffi","94902","677552","809465","True","False"
"oniguruma","kkos/oniguruma","libonig","oniguruma","79218","696339","806452","True","False"
"libsodium","","libsodium","libsodium","146952","600436","804699","True","False"
"gd","libgd/libgd","libgd2","gd","166459","571656","803034","True","True"
"libusb","libusb/libusb","libusb|libusb-1.0","libusb","208980","512095","802577","True","True"
"vmaf","Netflix/vmaf","","libvmaf","0","782731","782731","True","False"
"gdk-pixbuf","","gdk-pixbuf","gdk-pixbuf","157622","554524","773618","True","False"
"libheif","strukturag/libheif","libheif","libheif","111641","608208","763388","True","True"
"guile","","guile-2.2|guile-3.0","guile","0","759055","759055","True","False"
"libyaml","yaml/libyaml","libyaml","libyaml","158064","534774","754482","True","True"
"snappy-compression","google/snappy","snappy","snappy","142621","554733","752976","True","True"
"expat","libexpat/libexpat","expat","expat","229837","425033","744506","True","True"
"libavif","AOMediaCodec/libavif","libavif","libavif","16241","720852","743426","True","True"
"llvm","llvm/llvm-project","llvm-toolchain-17|llvm-toolchain-18|llvm-toolchain-19","clang-format|libomp|lld|lld@21|llvm|llvm@16|llvm@18|llvm@19|llvm@20|llvm@21","40600","686364","742798","True","True"
"isl","","isl","isl","114600","583165","742459","True","False"
"gobject-introspection","","gobject-introspection","gobject-introspection","152520","522107","734109","True","False"
"boost","boostorg/boost","boost1.83|boost1.88","boost|boost-python3","37013","676969","728417","True","True"
"ghostscript","ArtifexSoftware/ghostpdl-downloads","ghostscript","ghostscript","132195","530114","713865","True","False"
"autoconf","","autoconf","autoconf","0","707705","707705","True","False"
"bzip2","","bzip2","bzip2","230128","383645","703522","True","False"
"php","","","php|php@8.1|php@8.2|php@8.3","0","694800","694800","True","False"
"jasper","jasper-software/jasper","","jasper","0","691511","691511","True","False"
"vim","vim/vim","vim","vim","228765","366637","684620","True","False"
"libsndfile","libsndfile/libsndfile","libsndfile","libsndfile","136410","494974","684583","True","True"
"rubberband","","rubberband","rubberband","116587","521210","683265","True","False"
"libgcrypt","","libgcrypt20","libgcrypt","221677","374095","682226","True","False"
"libksba","","libksba","libksba","200721","402629","681631","True","False"
"libass","libass/libass","libass","libass","113239","523758","681160","True","True"
"glibc","","glibc","glibc","230082","354990","674803","True","False"
"certifi","certifi/python-certifi","","certifi","0","666535","666535","False","False"
"gnumpc","","mpclib3","libmpc","164699","435028","663959","True","False"
"boehm-gc","bdwgc/bdwgc","libgc","bdw-gc","85435","541194","659948","True","False"
"mpg123","","mpg123","mpg123","113000","492407","649477","True","False"
"rtmpdump","","rtmpdump","rtmpdump","220113","338635","644592","True","False"
"kubernetes","kubernetes/kubernetes","","kubernetes-cli","0","644483","644483","False","False"
"pkgconf","pkgconf/pkgconf","pkgconf","pkgconf","22205","612084","642948","True","False"
"libfido2","Yubico/libfido2","libfido2","libfido2","150905","428495","638252","True","True"
"dbus","","dbus","dbus","227606","318864","635236","True","False"
"bash","","bash","bash","230075","313461","633265","True","False"
"graphviz","","graphviz","graphviz","55652","546439","623795","True","False"
"librist","","librist","librist","56340","538033","616345","True","False"
"mbedtls","Mbed-TLS/mbedtls","mbedtls","mbedtls|mbedtls@3","15545","591402","613009","True","True"
"libbluray","","libbluray","libbluray","114590","452628","611908","True","False"
"jq","jqlang/jq","jq","jq","65417","517103","608032","True","True"
"freetds","","freetds","freetds","8100","594619","605878","True","False"
"ngtcp2","ngtcp2/ngtcp2","ngtcp2","libngtcp2","18249","567026","592392","True","False"
"mysql","mysql/mysql-server","","mysql|mysql-client|mysql-client@8.0|mysql-client@8.4|mysql@8.0|mysql@8.4","0","578865","578865","True","True"
"db","","db5.3","berkeley-db|berkeley-db@5","203462","291419","574231","True","False"
"leptonica","DanBloomberg/leptonica","leptonlib","leptonica","3515","565886","570771","True","True"
"nss","","nss","nss","152599","357458","569570","True","False"
"netpbm","","netpbm-free","netpbm","76472","457559","563855","True","False"
"util-linux","util-linux/util-linux","util-linux","gnu-getopt|util-linux","230126","239271","559146","True","True"
"libedit","","libedit","libedit","230020","235861","555588","True","False"
"tar","","tar","gnu-tar","230127","234511","554387","True","False"
"watchman","facebook/watchman","","watchman","0","554324","554324","False","False"
"dav1d","","dav1d","dav1d","18213","516721","542037","True","False"
"srt","Haivision/srt","srt","srt","54705","464860","540899","True","False"
"perl","","perl","perl","230126","214762","534637","True","False"
"docker-containers","docker/cli","","docker","0","532299","532299","False","False"
"apr","","apr","apr","112592","374074","530576","True","False"
"z3","Z3Prover/z3","z3","z3","107520","371464","520916","True","False"
"x265","","x265","x265","16881","495571","519035","True","False"
"flac","","flac","flac","17414","490471","514676","True","False"
"opus","","opus","opus","135467","325404","513703","True","False"
"binutils","","binutils|binutils-avr","binutils","147480","306369","511366","True","False"
"unzip","","unzip","unzip","178330","260077","507955","True","False"
"tcltk","","","tcl-tk|tcl-tk@8","0","504348","504348","True","False"
"speex","","speex","speex","131857","315182","498463","True","False"
"poppler","","poppler","poppler|poppler-qt5","110087","342841","495861","True","False"
"libssh","","libssh","libssh","58995","405225","487228","True","False"
"nvm","nvm-sh/nvm","","nvm","0","481434","481434","True","False"
"apr-util","","apr-util","apr-util","118195","316817","481108","True","False"
"rav1e","xiph/rav1e","rust-rav1e","rav1e","19428","453835","480839","True","False"
"libogg","","libogg","libogg","140449","281060","476284","True","False"
"python:setuptools","","","python-setuptools","0","476082","476082","False","False"
"libde265","strukturag/libde265","libde265","libde265","131579","292972","475866","True","False"
"folly","facebook/folly","","folly","0","474026","474026","True","False"
"zeromq","zeromq/libzmq","zeromq3","zeromq","120407","305864","473229","True","True"
"libsamplerate","libsndfile/libsamplerate","libsamplerate","libsamplerate","129809","291149","471583","True","False"
"opencore-amr","","opencore-amr","opencore-amr","112135","313468","469335","True","False"
"abseil-cpp","abseil/abseil-cpp","abseil","abseil","14320","448307","468211","True","True"
"libdeflate","ebiggers/libdeflate","libdeflate","libdeflate","127225","288004","464846","True","False"
"qemu","","qemu","qemu","24781","428950","463395","True","False"
"npth","","npth","npth","174453","215565","458054","True","False"
"fizz","facebookincubator/fizz","","fizz","0","455848","455848","True","False"
"sed","","sed","gnu-sed","230119","135455","455320","True","False"
"kubernetes-helm","helm/helm","","helm","0","454806","454806","False","False"
"fbthrift","facebook/fbthrift","","fbthrift","0","453755","453755","True","False"
"fb303","facebook/fb303","","fb303","0","452539","452539","True","False"
"libvorbis","","libvorbis","libvorbis","140320","256517","451561","True","False"
"libtheora","","libtheora","theora","128806","265951","444991","True","False"
"zimg-image-processing","sekrit-twc/zimg","zimg","zimg","58033","364072","444737","True","False"
"redis","","redis","redis","9279","430610","443507","True","False"
"libvpx","webmproject/libvpx","libvpx","libvpx","17182","418166","442048","True","False"
"wangle","facebook/wangle","","wangle","0","440946","440946","True","False"
"uv","astral-sh/uv","","uv","0","440547","440547","False","False"
"python:numpy","","","numpy","0","440092","440092","True","False"
"qt","","qt3d-opensource-src|qt6-3d|qt6-5compat|qt6-base|qt6-charts|qt6-connectivity|qt6-datavis3d|qt6-declarative|qt6-imageformats|qt6-location|qt6-multimedia|qt6-networkauth|qt6-positioning|qt6-quick3d|qt6-quicktimeline|qt6-remoteobjects|qt6-scxml|qt6-sensors|qt6-serialbus|qt6-serialport|qt6-shadertools|qt6-speech|qt6-svg|qt6-tools|qt6-virtualkeyboard|qt6-wayland|qt6-webchannel|qt6-webengine|qt6-websockets|qt6-webview|qtbase-opensource-src|qtbase-opensource-src-gles|qtcharts-opensource-src|qtconnectivity-opensource-src|qtdatavis3d-everywhere-src|qtdeclarative-opensource-src|qtdeclarative-opensource-src-gles|qtgamepad-everywhere-src|qtgraphicaleffects-opensource-src|qtimageformats-opensource-src|qtlocation-opensource-src|qtmultimedia-opensource-src|qtnetworkauth-everywhere-src|qtquickcontrols-opensource-src|qtquickcontrols2-opensource-src|qtscript-opensource-src|qtsensors-opensource-src|qtserialport-opensource-src|qtspeech-opensource-src|qtsvg-opensource-src|qttools-opensource-src|qtvirtualkeyboard-opensource-src|qtwayland-opensource-src|qtwebchannel-opensource-src|qtwebengine-opensource-src|qtwebsockets-opensource-src|qtwebview-opensource-src|qtx11extras-opensource-src|qtxmlpatterns-opensource-src","qt|qt3d|qt5compat|qt@5|qtbase|qtcharts|qtconnectivity|qtdatavis3d|qtdeclarative|qtimageformats|qtlocation|qtmultimedia|qtnetworkauth|qtpositioning|qtquick3d|qtquicktimeline|qtremoteobjects|qtscxml|qtsensors|qtserialbus|qtserialport|qtshadertools|qtspeech|qtsvg|qttools|qttranslations|qtvirtualkeyboard|qtwebchannel|qtwebengine|qtwebsockets|qtwebview","79428","324718","435122","True","False"
"lame","","lame","lame","129488","253156","433144","True","False"
"unixodbc","","unixodbc","unixodbc","33623","385424","432159","True","False"
"x264","","x264","x264","56474","353427","431925","True","False"
"svt-av1","","svt-av1","svt-av1","20428","402269","430663","True","False"
"python:six","benjaminp/six","","six","0","420464","420464","False","False"
"cjson","DaveGamble/cJSON","cjson","cjson","57800","333518","413860","True","True"
"libtirpc","","libtirpc","libtirpc","166227","180808","411863","True","False"
"grep","","grep","grep","230112","91840","411695","True","False"
"popt","rpm-software-management/popt","popt","popt","230060","85837","405620","True","False"
"argon2","P-H-C/phc-winner-argon2","argon2","argon2","191973","136030","402872","True","False"
"rust","","rustc","rust","417","402215","402794","True","False"
"libxcrypt","besser82/libxcrypt","libxcrypt","libxcrypt","151303","191454","401765","True","False"
"linux","","linux","linux-headers@5.15|linux-headers@6.8","133723","215600","401474","True","False"
"neovim","neovim/neovim","","neovim","0","399934","399934","True","False"
"libzip","","libzip","libzip","8339","388245","399836","True","False"
"frei0r","dyne/frei0r","","frei0r","0","398792","398792","True","False"
"acl","","acl","acl","230130","78861","398741","True","False"
"cocoapods","CocoaPods/CocoaPods","","cocoapods","0","396699","396699","True","False"
"soxr","","libsoxr","libsoxr","123067","225611","396674","True","False"
"lua","","lua5.1|lua5.2|lua5.3|lua5.4","lua|lua@5.4","114230","236781","395560","True","False"
"python:packaging","","","python-packaging","0","393852","393852","False","False"
"xvidcore","","xvidcore","xvid","127195","216748","393549","True","False"
"nspr","","nspr","nspr","152824","180335","392760","True","False"
"openssh","","openssh","openssh|ssh-copy-id","229442","72811","391735","True","False"
"systemd","systemd/systemd","systemd","systemd","229282","72406","391107","True","True"
"libb2","BLAKE2/libb2","libb2","libb2","29584","348950","390071","True","False"
"fzf","junegunn/fzf","","fzf","0","388538","388538","False","False"
"file","","file","libmagic","226452","71507","386275","True","False"
"vid.stab","georgmartius/vid","libvidstab","libvidstab","109854","233488","386185","True","False"
"libraw","","libraw","libraw","14722","362567","383030","True","False"
"libidn","","libidn","libidn","64490","293129","382770","True","False"
"aspell","","aspell","aspell","152665","169848","382052","True","False"
"double-conversion","google/double-conversion","double-conversion","double-conversion","66755","286751","379540","True","True"
"openblas","OpenMathLib/OpenBLAS","openblas","openblas","12639","361316","378884","True","False"
"tree-steve-baker","Old-Man-Programmer/tree","tree","tree","41564","320156","377929","True","False"
"cryptography","","","cryptography","0","376711","376711","False","False"
"attr","","attr","attr","230118","56712","376576","True","False"
"libcap","","libcap2","libcap","229822","55416","374868","True","False"
"maven","","","maven","0","373997","373997","False","False"
"jbig2dec","ArtifexSoftware/jbig2dec","jbig2dec","jbig2dec","138172","179523","371582","True","False"
"jansson","akheron/jansson","jansson","jansson","191192","100151","365907","True","True"
"tmux","tmux/tmux","tmux","tmux","33855","313602","360660","True","True"
"azure-cli","Azure/azure-cli","","azure-cli","0","360354","360354","False","False"
"gpgme","","gpgme1.0","gpgme","138935","166890","360009","True","False"
"rbenv","rbenv/rbenv","","rbenv","0","359313","359313","True","False"
"s-lang","","slang2","s-lang","229888","35811","355355","True","False"
"findutils","","findutils","findutils","230114","33890","353748","True","False"
"nano","","nano","nano","225439","39881","353241","True","False"
"libpthread-stubs","","libpthread-stubs","libpthread-stubs","40045","295982","351644","True","False"
"cyrus-sasl","cyrusimap/cyrus-sasl","cyrus-sasl2","cyrus-sasl","228407","32697","350182","True","False"
"luajit","LuaJIT/LuaJIT","","luajit","0","347785","347785","True","False"
"gtk","","gtk+2.0|gtk+3.0|gtk4","gtk+|gtk+3|gtk4","128198","168928","347123","True","False"
"keyutils","","keyutils","keyutils","229877","26873","346402","True","False"
"diffutils","","diffutils","diffutils","229327","27023","345787","True","False"
"mongosh","mongodb-js/mongosh","","mongosh","0","344273","344273","False","False"
"yq-mikefarah","mikefarah/yq","","yq","0","342580","342580","False","False"
"elfutils","","elfutils","elfutils","199964","64564","342513","True","False"
"automake","","automake-1.17","automake","0","341353","341353","True","False"
"dpkg","","dpkg","dpkg","230133","19853","339737","True","False"
"gzip","","gzip","gzip","230111","16483","336337","True","False"
"xxhash","Cyan4973/xxHash","xxhash","xxhash","154762","120135","335254","True","False"
"pinentry","","","pinentry","0","334378","334378","True","False"
"yt-dlp","yt-dlp/yt-dlp","","yt-dlp","0","333403","333403","False","False"
"pam","linux-pam/linux-pam","pam","linux-pam","230129","13151","333030","True","False"
"libpsl","rockdaboot/libpsl","libpsl","libpsl","192261","65530","332772","True","True"
"libxi","","libxi","libxi","163285","105371","332337","True","False"
"libxfixes","","libxfixes","libxfixes","162033","107069","332294","True","False"
"libxmu","","libxmu","libxmu","222094","23376","332086","True","False"
"groff","","groff","groff","220542","17499","324052","True","False"
"at-spi2-core","","at-spi2-core","at-spi2-core","134403","137179","323999","True","False"
"protobuf-c","protobuf-c/protobuf-c","protobuf-c","protobuf-c","190335","57921","322486","True","True"
"shared-mime-info","","shared-mime-info","shared-mime-info","0","322284","322284","True","False"
"libcbor","PJK/libcbor","libcbor","libcbor","19358","295006","321913","True","True"
"libnsl","thkukuk/libnsl","libnsl","libnsl","140473","125032","320289","True","False"
"shadow","shadow-maint/shadow","shadow","","230127","0","319876","True","False"
"apt","","apt","","230119","0","319865","True","False"
"base-passwd","","base-passwd","","230115","0","319859","True","False"
"hostname","","hostname","","230111","0","319854","True","False"
"libselinux","","libselinux","","230109","0","319851","True","False"
"sysvinit","slicer69/sysvinit","sysvinit","","230102","0","319841","True","False"
"e2fsprogs","","e2fsprogs","","229993","0","319690","True","False"
"procps","","procps","","229971","0","319659","True","False"
"cpio","","cpio","","229930","0","319602","True","False"
"debianutils","","debianutils","","229908","0","319572","True","False"
"logrotate","logrotate/logrotate","logrotate","","229888","0","319544","True","False"
"lvm2","","lvm2","","229772","0","319383","True","False"
"mawk","","mawk","","229643","0","319203","True","False"
"newt-tui","","newt","","229580","0","319116","True","False"
"iputils","iputils/iputils","iputils","","229537","0","319056","True","False"
"cron","","cron","","229394","0","318857","True","False"
"dash-shell","","dash","","229387","0","318847","True","False"
"libbsd","","libbsd","","229267","0","318681","True","False"
"klibc","","klibc","","229162","0","318535","True","False"
"tcp-wrappers","","tcp-wrappers","","229025","0","318344","True","False"
"edencommon","facebookexperimental/edencommon","","edencommon","0","318274","318274","True","False"
"less","","less","","228662","0","317840","True","False"
"linux-base","","linux-base","","228622","0","317784","True","False"
"pciutils","","pciutils","","228559","0","317697","True","False"
"bind","","bind9","bind","217032","15549","317223","True","False"
"libsemanage","","libsemanage","","227595","0","316357","True","False"
"kmod","","kmod","","227466","0","316177","True","False"
"grub","","grub2","","227233","0","315853","True","False"
"xauth","","xauth","xauth","221023","6857","314078","True","False"
"ifupdown","","ifupdown","","225715","0","313743","True","False"
"libcap-ng","","libcap-ng","","225066","0","312841","True","False"
"console-setup","","console-setup","","224099","0","311497","True","False"
"kbd","","kbd","","223811","0","311097","True","False"
"liblqr","carlobaldassi/liblqr","liblqr","liblqr","108894","159556","310918","True","False"
"audit","","audit","","222766","0","309644","True","False"
"cdebconf","","cdebconf","","222627","0","309451","True","False"
"libunibreak","adah1972/libunibreak","libunibreak","libunibreak","14867","288566","309231","True","False"
"nmap","","nmap","nmap","48141","241190","308105","True","False"
"libmnl","","libmnl","","221417","0","307769","True","False"
"xcbeautify","cpisciotta/xcbeautify","","xcbeautify","0","306106","306106","True","False"
"tree-sitter","tree-sitter/tree-sitter","tree-sitter","tree-sitter|tree-sitter@0.25","1853","301452","304027","True","False"
"libpipeline","","libpipeline","","218719","0","304019","True","False"
"lsof","lsof-org/lsof","lsof","","217759","0","302685","True","False"
"python3-defaults","","python3-defaults","","217534","0","302372","True","False"
"man-db","","man-db","","217497","0","302320","True","False"
"fmt","fmtlib/fmt","fmtlib","fmt","8276","290346","301849","True","True"
"libxslt","","libxslt","libxslt","175873","56911","301374","True","False"
"iptables","","iptables","","216656","0","301151","True","False"
"utf8proc","JuliaStrings/utf8proc","utf8proc","utf8proc","3246","296469","300980","True","True"
"docker-compose","docker/compose","","docker-compose","0","300141","300141","False","False"
"yarn","","","yarn","0","299921","299921","True","False"
"make","","make-dfsg","make","130800","118077","299889","True","False"
"git-lfs","git-lfs/git-lfs","","git-lfs","0","299270","299270","False","False"
"dhcp","","isc-dhcp","","214832","0","298616","True","False"
"apparmor","","apparmor","","214358","0","297957","True","False"
"gstreamer","","gstreamer1.0","gstreamer","136124","108670","297882","True","False"
"swiftlint","realm/SwiftLint","","swiftlint","0","297354","297354","True","False"
"libseccomp","seccomp/libseccomp","libseccomp","","213288","0","296470","True","False"
"ansible","","","ansible","0","296338","296338","False","False"
"ninja","ninja-build/ninja","","ninja","0","296268","296268","True","True"
"mise","jdx/mise","","mise","0","295918","295918","False","False"
"libxtst","","libxtst","libxtst","148777","88422","295222","True","False"
"traceroute-for-linux","","traceroute","","212243","0","295017","True","False"
"liblockfile","miquels/liblockfile","liblockfile","","210447","0","292521","True","False"
"uchardet","","uchardet","uchardet","185869","34039","292396","True","False"
"discover-data","","discover-data","","208875","0","290336","True","False"
"discover-unclassified","","discover","","208818","0","290257","True","False"
"netcat-unclassified","","netcat|netcat-openbsd","","208311","0","289552","True","False"
"libfuse","libfuse/libfuse","fuse|fuse3","","208234","0","289445","True","True"
"libassuan","","libassuan","libassuan","18124","262411","287603","True","False"
"alsa-lib","","alsa-lib","alsa-lib","152239","75135","286747","True","False"
"libnfnetlink","","libnfnetlink","","204930","0","284852","True","False"
"json-c","json-c/json-c","json-c","json-c","150500","72181","281376","True","True"
"cups","OpenPrinting/cups","cups","cups","161968","55791","280926","True","True"
"apache","","apache2","httpd","106258","131089","278787","True","False"
"pcre2","PCRE2Project/pcre2","pcre2","","200436","0","278606","True","True"
"usbutils","gregkh/usbutils","usbutils","","199870","0","277819","True","False"
"gpm","","gpm","","198964","0","276559","True","False"
"mkcert","FiloSottile/mkcert","","mkcert","0","276172","276172","False","False"
"jemalloc","jemalloc/jemalloc","jemalloc","jemalloc","90595","150134","276061","True","False"
"nghttp3","ngtcp2/nghttp3","nghttp3","libnghttp3","18996","247118","273522","True","False"
"jpeg","","","jpeg","0","272910","272910","True","False"
"php:composer","","","composer","0","272755","272755","True","False"
"libxrandr","","libxrandr","libxrandr","157731","52743","271989","True","False"
"libice","","libice","libice","154468","56048","270758","True","False"
"lmdb","","lmdb","lmdb","187935","8428","269657","True","False"
"hwloc","","hwloc","hwloc","26078","233406","269654","True","False"
"libnftnl","","libnftnl","","193733","0","269288","True","False"
"sudo","","sudo","","193216","0","268570","True","False"
"libsm","","libsm","libsm","154458","53003","267699","True","False"
"libepoxy","anholt/libepoxy","libepoxy","libepoxy","133426","81254","266716","True","False"
"libnetfilter-conntrack","","libnetfilter-conntrack","","191619","0","266350","True","False"
"cryptsetup","","cryptsetup","","191360","0","265990","True","False"
"fftw","","fftw|fftw3","fftw","134404","78727","265548","True","False"
"glib-networking","","glib-networking","glib-networking","131932","80390","263775","True","False"
"jbigkit","","jbigkit","","189333","0","263172","True","False"
"gradle","","","gradle","0","262803","262803","False","False"
"libxpm","","libxpm","libxpm","178004","14284","261709","True","False"
"net-snmp","","net-snmp","net-snmp","139221","68153","261670","True","False"
"debian:libpcre3","","libpcre3","","186771","0","259611","True","False"
"fstrm","farsightsec/fstrm","fstrm","","184720","0","256760","True","False"
"inetutils","","inetutils","inetutils","170441","19724","256636","True","False"
"rsync","","rsync","rsync","128137","77761","255871","True","False"
"libudfread","","libudfread","libudfread","93602","125729","255835","True","False"
"aribb24","nkoriyama/aribb24","aribb24","aribb24","46866","188899","254042","True","False"
"pandoc","jgm/pandoc","","pandoc","0","253368","253368","False","False"
"hunspell","hunspell/hunspell","hunspell","hunspell","102504","109510","251990","True","True"
"mesa","","mesa","mesa","145794","49254","251907","True","False"
"psmisc","","psmisc","","180663","0","251121","True","False"
"avahi","","avahi","","180663","0","251121","True","False"
"patch","","patch","gpatch","162752","17917","244142","True","False"
"efivar","rhinstaller/efivar","efivar","","175495","0","243938","True","False"
"libxt","","libxt","libxt","133437","56866","242343","True","False"
"libmaxminddb","maxmind/libmaxminddb","libmaxminddb","libmaxminddb","148420","35386","241689","True","False"
"libdrm","","libdrm","libdrm","161722","15776","240569","True","False"
"libxinerama","","libxinerama","libxinerama","156864","21309","239349","True","False"
