"package","github_repo","language","avg_downloads","2021","2022","2023","2024","2025","top","is_cpp","is_oss_fuzz","pagerank","value_class","git","eco_guess","license"
"json-c","json-c/json-c","c/c++","72181","0","131259","31923","66812","58732","True","True","True","0.01151574","A","https://github.com/json-c/json-c.git","","mit"
"freetype","","c/c++","1502390","0","3104900","749086","1081373","1074204","True","True","False","0.01071058","A","","","ftl"
"libtiff","","c/c++","1648669","0","3174425","870050","1294255","1255948","True","True","False","0.01035109","A","","","libtiff"
"m4","","c/c++","926897","0","2208119","254136","484105","761228","True","True","False","0.00894833","A","","","gpl-3.0-or-later"
"mpdecimal","","c/c++","1496913","0","2181341","473486","1701150","1631676","True","True","False","0.00876967","A","","","bsd-2-clause"
"python@3.14","","c/c++","465925","0","0","0","0","465925","True","True","False","0.00840801","A","","","python-2.0"
"node","","python","2773602","0","4407780","1234539","2731937","2720152","True","False","False","0.00820497","A","","","mit"
"harfbuzz","harfbuzz/harfbuzz","c/c++","2501400","0","3837193","1083475","2459080","2625854","True","True","True","0.00809870","A","https://github.com/harfbuzz/harfbuzz.git","","mit"
"libnghttp2","nghttp2/nghttp2","c/c++","2517924","0","5553844","986427","1820241","1711187","True","True","True","0.00782943","A","https://github.com/nghttp2/nghttp2.git","","mit"
"libx11","","c/c++","1837738","0","3334845","706571","1740696","1568841","True","True","False","0.00761021","A","","","mit"
"webp","","c/c++","1453192","0","2845391","692419","1129068","1145893","True","True","False","0.00664565","A","","","bsd-3-clause"
"libxcb","","python","1227499","0","2232254","567648","1270725","839370","True","False","False","0.00664041","A","","","mit"
"little-cms2","","c/c++","1458510","0","2584332","797492","1181801","1270416","True","True","False","0.00640534","A","","","mit"
"giflib","","c/c++","963324","0","1745645","321574","1042336","743741","True","True","False","0.00581725","A","","","mit"
"fontconfig","","c/c++","1634403","0","3303064","529345","1195013","1510190","True","True","False","0.00564486","A","https://gitlab.freedesktop.org/fontconfig/fontconfig.git","","hpnd-sell-variant and unicode-3.0 and mit-modern-variant and mit and licenseref-homebrew-public-domain"
"libvmaf","Netflix/vmaf","c/c++","782731","0","1631132","204109","725839","569844","True","True","False","0.00548040","A","https://github.com/netflix/vmaf.git","","bsd-2-clause-patent"
"libxau","","c/c++","1129290","0","2490547","346525","714089","965999","True","True","False","0.00543457","A","","","mit"
"libgpg-error","","c/c++","603556","0","984663","198754","646215","584592","True","True","False","0.00525615","A","","","lgpl-2.1-or-later"
"python@3.12","","c/c++","2224521","0","0","0","3179114","1269929","True","True","False","0.00516904","A","","","python-2.0"
"libxdmcp","","c/c++","978297","0","1965048","348725","922472","676945","True","True","False","0.00508406","A","","","mit"
"cairo","","c/c++","1015615","0","1412118","314265","1139310","1196769","True","True","False","0.00503664","A","","","lgpl-2.1-only or mpl-1.1"
"openjdk","openjdk/jdk26u","c/c++","1196957","0","2087942","510361","1194346","995182","True","True","False","0.00500755","A","https://github.com/openjdk/jdk26u.git","","gpl-2.0-only with classpath-exception-2.0"
"python@3.13","","c/c++","2079405","0","0","0","960477","3198334","True","True","False","0.00483467","A","","","python-2.0"
"libidn2","","c/c++","1650326","0","4059043","474703","1160992","906567","True","True","False","0.00468864","A","","","(gpl-2.0-or-later or lgpl-3.0-or-later) and (unicode-tou and unicode-dfs-2016) and gpl-3.0-or-later and lgpl-2.1-or-later and fsfap-no-warranty-disclaimer"
"libuv","","c/c++","1232141","0","2613970","484926","953721","875949","True","True","False","0.00461529","A","","","mit"
"gnutls","","c/c++","1550257","0","3035146","588528","1337885","1239471","True","True","False","0.00459941","A","","","lgpl-2.1-or-later and gpl-3.0-only"
"abseil","abseil/abseil-cpp","c/c++","448307","0","95745","190364","667698","839422","True","True","True","0.00452263","A","https://github.com/abseil/abseil-cpp.git","","apache-2.0"
"libtool","","c/c++","1032999","0","2371853","257223","773274","729646","True","True","False","0.00446556","A","","","gpl-2.0-or-later"
"icu4c@78","unicode-org/icu","c/c++","212193","0","0","0","0","212193","True","True","True","0.00439224","A","https://github.com/unicode-org/icu.git","","unicode-3.0"
"python@3.10","","c/c++","1879644","0","5377075","825213","766344","549945","True","True","False","0.00436250","A","","","python-2.0"
"git","","c/c++","1832306","0","3237461","801310","1676551","1613902","True","True","False","0.00420876","A","https://mirrors.edge.kernel.org/pub/software/scm/git/git-2.55.0.tar.xz","","gpl-2.0-only and gpl-2.0-or-later and lgpl-2.1-or-later and bsd-3-clause and mit"
"awscli","aws/aws-cli","c/c++","1751886","0","2312196","733314","1857487","2104550","True","True","False","0.00402404","A","https://github.com/aws/aws-cli.git","","apache-2.0"
"aom","","c/c++","1485175","0","2836709","539345","1426260","1138387","True","True","False","0.00401880","A","https://aomedia.googlesource.com/aom.git","","bsd-2-clause"
"brotli","google/brotli","c/c++","1156315","0","2082845","465859","967575","1108984","True","True","True","0.00401249","A","https://github.com/google/brotli.git","","mit"
"libogg","","c/c++","281060","0","539388","87789","201467","295596","True","True","False","0.00400957","A","","","bsd-3-clause"
"pkgconf","pkgconf/pkgconf","c/c++","612084","0","985","807","452193","1994354","True","True","False","0.00397424","A","https://github.com/pkgconf/pkgconf.git","","isc"
"ncurses","","c/c++","964676","0","1321218","373546","965738","1198202","True","True","False","0.00397325","A","","","x11-distribute-modifications-variant"
"krb5","","c/c++","1056264","0","1889031","617691","913225","805112","True","True","False","0.00382124","A","","","bsd-2-clause and bsd-2-clause-first-lines and bsd-3-clause and bsd-4-clause and brian-gladman-2-clause and cmu-mach-nodoc and fsfullrwd and hpnd and hpnd-export2-us and hpnd-export-us and hpnd-export-us-acknowledgement and hpnd-export-us-modify and isc and mit and mit-cmu and oldap-2.8 and openvision and (bsd-2-clause or gpl-2.0-or-later)"
"libyaml","yaml/libyaml","c/c++","534774","0","902723","356787","427516","452073","True","True","True","0.00378203","A","https://github.com/yaml/libyaml.git","","mit"
"unbound","","c/c++","1640424","0","3188288","591969","1594030","1187409","True","True","False","0.00376801","A","","","bsd-3-clause"
"jpeg-xl","libjxl/libjxl","c/c++","1621571","0","2723239","726189","1688932","1347926","True","True","True","0.00376727","A","https://github.com/libjxl/libjxl.git","","bsd-3-clause"
"gdbm","","c/c++","968923","0","2610600","191758","552646","520690","True","True","False","0.00375968","A","","","gpl-3.0-or-later"
"libevent","libevent/libevent","c/c++","850595","0","1493998","465102","768326","674956","True","True","True","0.00375547","A","https://github.com/libevent/libevent.git","","bsd-3-clause"
"gcc","","c/c++","1109102","0","1129140","631285","1587961","1088022","True","True","False","0.00374128","A","","","gpl-3.0-or-later with gcc-exception-3.1"
"icu4c@77","unicode-org/icu","c/c++","1587966","0","0","0","0","1587966","True","True","True","0.00369094","A","https://github.com/unicode-org/icu.git","","unicode-3.0"
"imath","AcademySoftwareFoundation/Imath","c/c++","1008002","0","2215311","400554","798337","617807","True","True","False","0.00362213","A","https://github.com/academysoftwarefoundation/imath.git","","bsd-3-clause"
"c-ares","c-ares/c-ares","c/c++","1237988","0","1950818","480268","1555096","965772","True","True","True","0.00356583","A","https://github.com/c-ares/c-ares.git","","mit"
"autoconf","","c/c++","707705","0","1420819","194673","792412","422916","True","True","False","0.00355712","A","","","gpl-3.0-or-later and (gpl-3.0-or-later with autoconf-exception-3.0)"
"libtasn1","","c/c++","796456","0","1861107","206521","434319","683879","True","True","False","0.00348996","A","","","lgpl-2.1-or-later"
"python@3.9","","c/c++","1488713","0","4272653","527040","680302","474857","True","True","False","0.00346317","A","","","python-2.0"
"python@3.11","","c/c++","1359832","0","1683606","1571411","1430574","753739","True","True","False","0.00316337","A","","","python-2.0"
"pango","","c/c++","1136114","0","1547861","314801","1251704","1430092","True","True","False","0.00316278","A","","","lgpl-2.0-or-later"
"openexr","AcademySoftwareFoundation/openexr","c/c++","1181137","0","1651312","694632","1129313","1249294","True","True","True","0.00313642","A","https://github.com/academysoftwarefoundation/openexr.git","","bsd-3-clause"
"cmake","Kitware/CMake","c/c++","1332849","0","1440694","723699","1597582","1569424","True","True","False","0.00306152","A","https://github.com/kitware/cmake.git","","bsd-3-clause"
"libxext","","c/c++","1047804","0","2029432","349622","1044767","767397","True","True","False","0.00305432","A","","","mit"
"pixman","","c/c++","1123316","0","2084098","345727","795323","1268116","True","True","False","0.00303525","A","","","mit"
"ffmpeg","","c/c++","1266137","0","1646538","425058","1479516","1513437","True","True","False","0.00301334","A","","","gpl-3.0-or-later"
"pyenv","pyenv/pyenv","c/c++","1267218","0","1768041","579765","1395998","1325068","True","True","False","0.00299251","A","https://github.com/pyenv/pyenv.git","","mit"
"libsodium","","c/c++","600436","0","1030897","182642","683730","504476","True","True","False","0.00299047","A","","","isc"
"mpfr","","c/c++","638726","0","1016267","499170","540738","498732","True","True","False","0.00297942","A","","","lgpl-3.0-or-later"
"oniguruma","kkos/oniguruma","c/c++","696339","0","1316356","191075","589415","688510","True","True","False","0.00294839","A","https://github.com/kkos/oniguruma.git","","bsd-2-clause"
"libomp","llvm/llvm-project","c/c++","686364","0","1191879","263821","615592","674166","True","True","True","0.00290323","A","https://github.com/llvm/llvm-project.git","","mit"
"protobuf","protocolbuffers/protobuf","c/c++","1003974","0","1720022","347527","999370","948979","True","True","False","0.00288795","A","https://github.com/protocolbuffers/protobuf.git","","bsd-3-clause"
"nettle","","c/c++","1036662","0","2115504","436424","762564","832156","True","True","False","0.00288059","A","","","gpl-2.0-or-later or lgpl-3.0-or-later"
"ruby","","rust","802348","0","1362620","350990","769299","726483","True","False","False","0.00279327","A","","","ruby"
"graphite2","silnrsi/graphite","c/c++","710634","0","1313322","277270","611513","640434","True","True","False","0.00278093","A","https://github.com/silnrsi/graphite.git","","mit or mpl-2.0 or lgpl-2.1-or-later or gpl-2.0-or-later"
"p11-kit","p11-glue/p11-kit","c/c++","965128","0","1869734","366660","884433","739688","True","True","True","0.00271278","A","https://github.com/p11-glue/p11-kit.git","","bsd-3-clause"
"gh","cli/cli","go","1169690","0","1189319","394493","1302431","1792519","True","False","False","0.00268675","A","https://github.com/cli/cli.git","","mit"
"ruby-build","rbenv/ruby-build","c/c++","846438","0","1827694","233082","759227","565752","True","True","False","0.00264563","A","https://github.com/rbenv/ruby-build.git","","mit"
"go","","c/c++","1047691","0","1392512","513029","1056974","1228249","True","True","False","0.00262091","A","","","bsd-3-clause"
"libxrender","","c/c++","944970","0","1919330","337371","646979","876200","True","True","False","0.00261633","A","","","mit"
"libssh2","","c/c++","621327","0","982403","376427","585136","541342","True","True","False","0.00260010","A","","","bsd-3-clause"
"curl","","c/c++","1060193","0","1728841","561696","1022060","928175","True","True","False","0.00253831","A","","","curl"
"highway","google/highway","c/c++","912315","0","1811891","502613","779193","555564","True","True","False","0.00250053","A","https://github.com/google/highway.git","","apache-2.0 or bsd-3-clause"
"fmt","fmtlib/fmt","c/c++","290346","0","495382","124044","253340","288618","True","True","True","0.00248721","A","https://github.com/fmtlib/fmt.git","","mit"
"certifi","certifi/python-certifi","python","666535","0","0","0","595710","737361","True","False","False","0.00246068","A","https://github.com/certifi/python-certifi.git","","mpl-2.0"
"fribidi","fribidi/fribidi","c/c++","737907","0","1253493","297730","835076","565329","True","True","True","0.00243718","A","https://github.com/fribidi/fribidi.git","","gpl-2.0-or-later and lgpl-2.1-or-later"
"mpg123","","c/c++","492407","0","550470","198574","647967","572619","True","True","False","0.00231285","A","","","lgpl-2.1-only"
"gflags","gflags/gflags","c/c++","142983","0","325432","70371","100521","75611","True","True","False","0.00226111","A","https://github.com/gflags/gflags.git","","bsd-3-clause"
"tesseract","tesseract-ocr/tesseract","c/c++","913768","0","1155915","423580","1101000","974577","True","True","True","0.00224026","A","https://github.com/tesseract-ocr/tesseract.git","","apache-2.0"
"openjpeg","uclouvain/openjpeg","c/c++","783774","0","1345543","331967","733360","724229","True","True","True","0.00223400","A","https://github.com/uclouvain/openjpeg.git","","bsd-2-clause"
"imagemagick","ImageMagick/ImageMagick","c/c++","945142","0","1573486","452619","912693","841772","True","True","True","0.00218598","A","https://github.com/imagemagick/imagemagick.git","","imagemagick"
"php","","c/c++","694800","0","1215858","339546","674686","549111","True","True","False","0.00216031","A","","","php-3.01 and zend-2.0 and bsl-1.0 and mit and apache-1.0 and apache-2.0 and bcrypt-solar-designer and bsd-2-clause-darwin and bsd-2-clause and bsd-3-clause and bsd-4-clause-uc and isc and lgpl-2.1-only and lgpl-2.1-or-later and oldap-2.8 and tcl and zlib"
"wget","","c/c++","939560","0","1349795","556948","1137063","714436","True","True","False","0.00215815","A","","","gpl-3.0-or-later"
"folly","facebook/folly","c/c++","474026","0","927316","243649","432781","292358","True","True","False","0.00212521","A","https://github.com/facebook/folly.git","","apache-2.0"
"lzo","","c/c++","700894","0","1474981","266928","519068","542601","True","True","False","0.00210427","A","","","gpl-2.0-or-later"
"libpq","","c/c++","836096","0","1620325","375222","739242","609598","True","True","False","0.00205496","A","","","postgresql"
"zlib","","c/c++","890331","0","1142506","479277","999206","940336","True","True","False","0.00204507","A","","","zlib"
"boost","boostorg/boost","c/c++","676969","0","1186242","266155","699669","555812","True","True","True","0.00203243","A","https://github.com/boostorg/boost.git","","bsl-1.0"
"isl","","c/c++","583165","0","861913","386519","644438","439792","True","True","False","0.00199756","A","","","mit"
"libngtcp2","ngtcp2/ngtcp2","c/c++","567026","0","0","0","0","567026","True","True","False","0.00197531","A","https://github.com/ngtcp2/ngtcp2.git","","mit"
"libffi","libffi/libffi","c/c++","677552","0","1511038","182403","431956","584813","True","True","False","0.00196597","A","https://github.com/libffi/libffi.git","","mit"
"libarchive","","c/c++","696702","0","994020","269225","758878","764688","True","True","False","0.00192697","A","","","bsd-2-clause"
"gnupg","","c/c++","759991","0","915044","277128","972906","874887","True","True","False","0.00192462","A","","","gpl-3.0-or-later"
"openblas","OpenMathLib/OpenBLAS","c/c++","361316","0","443342","155431","561969","284522","True","True","False","0.00187498","A","https://github.com/openmathlib/openblas.git","","bsd-3-clause and bsd-2-clause-views and bsd-3-clause-open-mpi and bsd-2-clause"
"libavif","AOMediaCodec/libavif","c/c++","720852","0","1643271","189758","564943","485439","True","True","True","0.00187094","A","https://github.com/aomediacodec/libavif.git","","bsd-2-clause"
"jasper","jasper-software/jasper","c/c++","691511","0","1617689","135907","563820","448629","True","True","False","0.00186396","A","https://github.com/jasper-software/jasper.git","","jasper-2.0"
"dav1d","","c/c++","516721","0","855686","211908","539140","460153","True","True","False","0.00185391","A","https://code.videolan.org/videolan/dav1d.git","","bsd-2-clause"
"kubernetes-cli","kubernetes/kubernetes","go","644483","0","1129092","289445","582207","577188","True","False","False","0.00182588","A","https://github.com/kubernetes/kubernetes.git","","apache-2.0"
"unixodbc","","c/c++","385424","0","963355","170162","215943","192237","True","True","False","0.00178709","A","","","lgpl-2.1-or-later and gpl-2.0-or-later"
"guile","","c/c++","759055","0","2544603","83747","299488","108384","True","True","False","0.00174353","A","","","lgpl-3.0-or-later"
"coreutils","","c/c++","687007","0","836564","368299","656056","887112","True","True","False","0.00171509","A","","","gpl-3.0-or-later"
"libsndfile","libsndfile/libsndfile","c/c++","494974","0","1131947","198779","262207","386964","True","True","True","0.00170500","A","https://github.com/libsndfile/libsndfile.git","","lgpl-2.1-or-later"
"openldap","","c/c++","697337","0","1260672","372145","665088","491444","True","True","False","0.00170316","A","","","oldap-2.8"
"libmpc","","c/c++","435028","0","705552","291897","437753","304911","True","True","False","0.00165729","A","","","lgpl-3.0-or-later"
"librsvg","","rust","615170","0","981650","277157","660658","541215","True","False","False","0.00165361","A","","","lgpl-2.1-or-later"
"icu4c@76","unicode-org/icu","c/c++","717527","0","0","0","668916","766139","True","True","True","0.00164814","A","https://github.com/unicode-org/icu.git","","unicode-3.0"
"libheif","strukturag/libheif","c/c++","608208","0","988958","246537","635644","561696","True","True","True","0.00163453","A","https://github.com/strukturag/libheif.git","","lgpl-3.0-or-later"
"gdk-pixbuf","","c/c++","554524","0","954703","228928","497123","537343","True","True","False","0.00161778","A","","","lgpl-2.1-or-later"
"qtbase","","c/c++","16470","0","0","7","0","32934","True","True","False","0.00161491","A","","","(lgpl-3.0-only or gpl-2.0-only or gpl-3.0-only) and (gpl-3.0-only with qt-gpl-exception-1.0) and bsd-3-clause and gfdl-1.3-no-invariants-only"
"libusb","libusb/libusb","c/c++","512095","0","1001176","130089","447295","469822","True","True","True","0.00160632","A","https://github.com/libusb/libusb.git","","lgpl-2.1-or-later"
"x265","","c/c++","495571","0","647376","121813","655584","557512","True","True","False","0.00160432","A","https://bitbucket.org/multicoreware/x265_git.git","","gpl-2.0-or-later"
"leptonica","DanBloomberg/leptonica","c/c++","565886","0","851886","278897","591485","541276","True","True","True","0.00158456","A","https://github.com/danbloomberg/leptonica.git","","bsd-2-clause"
"libdeflate","ebiggers/libdeflate","c/c++","288004","0","2208","1597","313603","834608","True","True","False","0.00155590","A","https://github.com/ebiggers/libdeflate.git","","mit"
"llvm","llvm/llvm-project","c/c++","577021","0","435771","210522","753028","908764","True","True","True","0.00155578","A","https://github.com/llvm/llvm-project.git","","apache-2.0 with llvm-exception"
"snappy","google/snappy","c/c++","554733","0","922280","274045","569337","453272","True","True","True","0.00155423","A","https://github.com/google/snappy.git","","bsd-3-clause"
"gd","libgd/libgd","c/c++","571656","0","1486602","306040","275198","218785","True","True","True","0.00151789","A","https://github.com/libgd/libgd.git","","gd"
"bdw-gc","bdwgc/bdwgc","c/c++","541194","0","1779047","99918","202660","83151","True","True","False","0.00149330","A","https://github.com/bdwgc/bdwgc.git","","boehm-gc and hpnd-sell-variant"
"tcl-tk","","c/c++","504348","0","960431","357311","427978","271672","True","True","False","0.00148240","B","","","tcl"
"freetds","","c/c++","594619","0","1233605","269585","475801","399487","True","True","False","0.00146722","B","","","gpl-2.0-or-later"
"glog","google/glog","c/c++","184386","0","497458","74569","98435","67082","True","True","True","0.00144979","B","https://github.com/google/glog.git","","bsd-3-clause"
"apr","","c/c++","374074","0","899126","200448","204592","192133","True","True","False","0.00144144","B","","","apache-2.0"
"pycparser","eliben/pycparser","python","223211","0","268","168783","427309","296484","True","False","False","0.00142363","B","https://github.com/eliben/pycparser.git","","bsd-3-clause"
"fbthrift","facebook/fbthrift","c/c++","453755","0","899984","235122","392440","287476","True","True","False","0.00140840","B","https://github.com/facebook/fbthrift.git","","apache-2.0"
"flac","","c/c++","490471","0","1151948","183732","255828","370377","True","True","False","0.00138572","B","","","bsd-3-clause and gpl-2.0-or-later and isc and lgpl-2.0-or-later and lgpl-2.1-or-later and licenseref-homebrew-public-domain and (gpl-2.0-or-later or lgpl-2.1-or-later)"
"libassuan","","c/c++","262411","0","289328","88752","373921","297646","True","True","False","0.00138415","B","","","lgpl-2.1-or-later and gpl-3.0-or-later and fsfullr"
"postgresql@14","","c/c++","599506","0","966920","304637","597494","528976","True","True","False","0.00137705","B","","","postgresql"
"libxml2","","c/c++","520962","0","745566","250964","577854","509466","True","True","False","0.00136067","B","","","mit"
"fb303","facebook/fb303","c/c++","452539","0","893797","233536","401924","280902","True","True","False","0.00135871","B","https://github.com/facebook/fb303.git","","apache-2.0"
"mbedtls","Mbed-TLS/mbedtls","c/c++","591402","0","1011338","229905","575274","549091","True","True","True","0.00135844","B","https://github.com/mbed-tls/mbedtls.git","","apache-2.0"
"openjph","aous72/OpenJPH","c/c++","202308","0","0","0","439","404178","True","True","True","0.00135288","B","https://github.com/aous72/openjph.git","","bsd-2-clause"
"fizz","facebookincubator/fizz","c/c++","455848","0","897633","224615","413239","287906","True","True","False","0.00134314","B","https://github.com/facebookincubator/fizz.git","","bsd-3-clause"
"mysql","mysql/mysql-server","c/c++","578865","0","953693","286157","590294","485319","True","True","True","0.00132964","B","https://github.com/mysql/mysql-server.git","","gpl-2.0-only with universal-foss-exception-1.0"
"graphviz","","c/c++","546439","0","922829","258945","517273","486710","True","True","False","0.00132234","B","https://gitlab.com/api/v4/projects/4207231/packages/generic/graphviz-releases/15.1.0/graphviz-15.1.0.tar.xz.git","","epl-1.0"
"libb2","BLAKE2/libb2","c/c++","348950","0","617139","104256","318476","355929","True","True","False","0.00130829","B","https://github.com/blake2/libb2.git","","cc0-1.0"
"opus","","c/c++","325404","0","464401","155549","410409","271260","True","True","False","0.00127477","B","","","bsd-3-clause"
"watchman","facebook/watchman","rust","554324","0","892093","297559","564192","463453","True","False","False","0.00127327","B","https://github.com/facebook/watchman.git","","mit"
"ghostscript","ArtifexSoftware/ghostpdl-downloads","c/c++","530114","0","896806","302235","525572","395846","True","True","False","0.00126113","B","https://github.com/artifexsoftware/ghostpdl-downloads.git","","agpl-3.0-or-later"
"gobject-introspection","","c/c++","522107","0","1231511","246608","347438","262874","True","True","False","0.00125333","B","","","gpl-2.0-or-later and lgpl-2.0-or-later and mit"
"libnghttp3","ngtcp2/nghttp3","c/c++","247118","0","0","0","19073","475164","True","True","False","0.00124963","B","https://github.com/ngtcp2/nghttp3.git","","mit"
"librist","","c/c++","538033","0","1068306","174933","507675","401219","True","True","False","0.00124393","B","https://code.videolan.org/rist/librist.git","","bsd-2-clause"
"libvpx","webmproject/libvpx","c/c++","418166","0","837238","128883","299486","407060","True","True","False","0.00123008","B","https://github.com/webmproject/libvpx.git","","bsd-3-clause"
"hwloc","","c/c++","233406","0","247444","65355","379285","241543","True","True","False","0.00122674","B","","","bsd-3-clause"
"docker","docker/cli","go","532299","0","707814","239614","518365","663406","True","False","False","0.00122268","B","https://github.com/docker/cli.git","","apache-2.0"
"libass","libass/libass","c/c++","523758","0","1016533","168937","545196","364369","True","True","True","0.00122240","B","https://github.com/libass/libass.git","","isc"
"nspr","","c/c++","180335","0","403409","37807","116739","163386","True","True","False","0.00121128","B","","","mpl-2.0"
"rubberband","","c/c++","521210","0","1233867","245444","302391","303140","True","True","False","0.00121113","B","","","gpl-2.0-or-later"
"double-conversion","google/double-conversion","c/c++","286751","0","666887","136324","152151","191642","True","True","True","0.00121013","B","https://github.com/google/double-conversion.git","","bsd-3-clause"
"libfido2","Yubico/libfido2","c/c++","428495","0","996262","184873","352371","180475","True","True","True","0.00120458","B","https://github.com/yubico/libfido2.git","","bsd-2-clause"
"libsamplerate","libsndfile/libsamplerate","c/c++","291149","0","616921","123071","205001","219606","True","True","False","0.00120172","B","https://github.com/libsndfile/libsamplerate.git","","bsd-2-clause"
"z3","Z3Prover/z3","c/c++","371464","0","276404","112337","510498","586619","True","True","False","0.00119567","B","https://github.com/z3prover/z3.git","","mit"
"libcbor","PJK/libcbor","c/c++","295006","0","717435","100741","224915","136936","True","True","True","0.00119115","B","https://github.com/pjk/libcbor.git","","mit"
"svt-av1","","c/c++","402269","0","239974","240854","557142","571106","True","True","False","0.00118877","B","https://gitlab.com/aomediacodec/svt-av1.git","","bsd-3-clause"
"jq","jqlang/jq","c/c++","517103","0","608777","250050","568956","640630","True","True","True","0.00118777","B","https://github.com/jqlang/jq.git","","mit"
"netpbm","","c/c++","457559","0","875415","239127","359471","356225","True","True","False","0.00118331","B","","","gpl-3.0-or-later"
"libgit2","libgit2/libgit2","c/c++","203009","0","70927","71862","364891","304356","True","True","True","0.00115824","B","https://github.com/libgit2/libgit2.git","","gpl-2.0-only with gcc-exception-2.0"
"wangle","facebook/wangle","c/c++","440946","0","896583","220266","389071","257867","True","True","False","0.00114582","B","https://github.com/facebook/wangle.git","","apache-2.0"
"libvorbis","","c/c++","256517","0","493344","87499","211088","234138","True","True","False","0.00114515","B","","","bsd-3-clause"
"cryptography","","rust","376711","0","0","42","526478","603614","True","False","False","0.00112067","B","","","apache-2.0 or bsd-3-clause"
"numpy","","c/c++","440092","0","589182","144545","623393","403250","True","True","False","0.00111094","B","","","bsd-3-clause"
"helm","helm/helm","go","454806","0","628822","200068","479448","510887","True","False","False","0.00110955","B","https://github.com/helm/helm.git","","apache-2.0"
"nvm","nvm-sh/nvm","c/c++","481434","0","827523","235816","421318","441082","True","True","False","0.00110584","B","https://github.com/nvm-sh/nvm.git","","mit"
"lame","","c/c++","253156","0","454009","93265","219040","246312","True","True","False","0.00109765","B","","","lgpl-2.0-or-later"
"python-setuptools","","python","476082","0","0","0","590666","361498","True","False","False","0.00109355","B","","","mit"
"libksba","","c/c++","402629","0","832902","146345","403227","228045","True","True","False","0.00108842","B","","","lgpl-3.0-or-later or gpl-2.0-or-later"
"libgcrypt","","c/c++","374095","0","568298","160507","307085","460493","True","True","False","0.00108410","B","","","lgpl-2.1-or-later and gpl-2.0-or-later"
"libssh","","c/c++","405225","0","528589","131743","540928","419642","True","True","False","0.00108168","B","","","lgpl-2.1-or-later"
"x264","","c/c++","353427","0","795901","87923","246240","283645","True","True","False","0.00108137","B","https://code.videolan.org/videolan/x264.git","","gpl-2.0-or-later"
"srt","Haivision/srt","c/c++","464860","0","1012893","204712","305709","336128","True","True","False","0.00107935","B","https://github.com/haivision/srt.git","","mpl-2.0"
"libzip","","c/c++","388245","0","820296","180733","243219","308735","True","True","False","0.00107344","B","","","bsd-3-clause"
"cffi","","python","213268","0","172","177710","400680","274510","True","False","False","0.00107135","B","","","mit-0"
"libbluray","","c/c++","452628","0","1205830","111223","189370","304091","True","True","False","0.00105552","B","","","lgpl-2.1-or-later"
"rav1e","xiph/rav1e","rust","453835","0","932588","248632","294625","339496","True","False","False","0.00105053","B","https://github.com/xiph/rav1e.git","","bsd-2-clause"
"cjson","DaveGamble/cJSON","c/c++","333518","0","522199","137152","368120","306604","True","True","True","0.00104613","B","https://github.com/davegamble/cjson.git","","mit"
