"package","github_repo","git","eco_guess","language","avg_downloads","2021","2022","2023","2024","2025","top","is_cpp","is_oss_fuzz","pagerank","value_class","license"
"cairo","","","","c/c++","1015615","0","1412118","314265","1139310","1196769","True","True","False","0.00504214","A","lgpl-2.1-only or mpl-1.1"
"python@3.13","","","","c/c++","2079405","0","0","0","960477","3198334","True","True","False","0.00501630","A","python-2.0"
"openjdk","openjdk/jdk26u","https://github.com/openjdk/jdk26u.git","","c/c++","1196957","0","2087942","510361","1194346","995182","True","True","False","0.00501295","A","gpl-2.0-only with classpath-exception-2.0"
"giflib","","","","c/c++","963324","0","1745645","321574","1042336","743741","True","True","False","0.00488687","A","mit"
"libidn2","","","","c/c++","1650326","0","4059043","474703","1160992","906567","True","True","False","0.00469412","A","(gpl-2.0-or-later or lgpl-3.0-or-later) and (unicode-tou and unicode-dfs-2016) and gpl-3.0-or-later and lgpl-2.1-or-later and fsfap-no-warranty-disclaimer"
"libuv","","","","c/c++","1232141","0","2613970","484926","953721","875949","True","True","False","0.00462373","A","mit"
"gnutls","","","","c/c++","1550257","0","3035146","588528","1337885","1239471","True","True","False","0.00460627","A","lgpl-2.1-or-later and gpl-3.0-only"
"abseil","abseil/abseil-cpp","https://github.com/abseil/abseil-cpp.git","","c/c++","448307","0","95745","190364","667698","839422","True","True","True","0.00452831","A","apache-2.0"
"libtool","","","","c/c++","1032999","0","2371853","257223","773274","729646","True","True","False","0.00447061","A","gpl-2.0-or-later"
"webp","","","","c/c++","1453192","0","2845391","692419","1129068","1145893","True","True","False","0.00444863","A","bsd-3-clause"
"icu4c@78","unicode-org/icu","https://github.com/unicode-org/icu.git","","c/c++","212193","0","0","0","0","212193","True","True","True","0.00439960","A","unicode-3.0"
"python@3.10","","","","c/c++","1879644","0","5377075","825213","766344","549945","True","True","False","0.00436756","A","python-2.0"
"git","","https://mirrors.edge.kernel.org/pub/software/scm/git/git-2.55.0.tar.xz","","c/c++","1832306","0","3237461","801310","1676551","1613902","True","True","False","0.00421365","A","gpl-2.0-only and gpl-2.0-or-later and lgpl-2.1-or-later and bsd-3-clause and mit"
"awscli","aws/aws-cli","https://github.com/aws/aws-cli.git","","c/c++","1751886","0","2312196","733314","1857487","2104550","True","True","False","0.00402871","A","apache-2.0"
"aom","","https://aomedia.googlesource.com/aom.git","","c/c++","1485175","0","2836709","539345","1426260","1138387","True","True","False","0.00402338","A","bsd-2-clause"
"brotli","google/brotli","https://github.com/google/brotli.git","","c/c++","1156315","0","2082845","465859","967575","1108984","True","True","True","0.00401853","A","mit"
"libogg","","","","c/c++","281060","0","539388","87789","201467","295596","True","True","False","0.00401385","A","bsd-3-clause"
"pkgconf","pkgconf/pkgconf","https://github.com/pkgconf/pkgconf.git","","c/c++","612084","0","985","807","452193","1994354","True","True","False","0.00397845","A","isc"
"ncurses","","","","c/c++","964676","0","1321218","373546","965738","1198202","True","True","False","0.00397757","A","x11-distribute-modifications-variant"
"krb5","","","","c/c++","1056264","0","1889031","617691","913225","805112","True","True","False","0.00382067","A","bsd-2-clause and bsd-2-clause-first-lines and bsd-3-clause and bsd-4-clause and brian-gladman-2-clause and cmu-mach-nodoc and fsfullrwd and hpnd and hpnd-export2-us and hpnd-export-us and hpnd-export-us-acknowledgement and hpnd-export-us-modify and isc and mit and mit-cmu and oldap-2.8 and openvision and (bsd-2-clause or gpl-2.0-or-later)"
"libyaml","yaml/libyaml","https://github.com/yaml/libyaml.git","","c/c++","534774","0","902723","356787","427516","452073","True","True","True","0.00378648","A","mit"
"unbound","","","","c/c++","1640424","0","3188288","591969","1594030","1187409","True","True","False","0.00377239","A","bsd-3-clause"
"jpeg-xl","libjxl/libjxl","https://github.com/libjxl/libjxl.git","","c/c++","1621571","0","2723239","726189","1688932","1347926","True","True","True","0.00377164","A","bsd-3-clause"
"gdbm","","","","c/c++","968923","0","2610600","191758","552646","520690","True","True","False","0.00376377","A","gpl-3.0-or-later"
"libevent","libevent/libevent","https://github.com/libevent/libevent.git","","c/c++","850595","0","1493998","465102","768326","674956","True","True","True","0.00375954","A","bsd-3-clause"
"gcc","","","","c/c++","1109102","0","1129140","631285","1587961","1088022","True","True","False","0.00374583","A","gpl-3.0-or-later with gcc-exception-3.1"
"icu4c@77","unicode-org/icu","https://github.com/unicode-org/icu.git","","c/c++","1587966","0","0","0","0","1587966","True","True","True","0.00369522","A","unicode-3.0"
"imath","AcademySoftwareFoundation/Imath","https://github.com/academysoftwarefoundation/imath.git","","c/c++","1008002","0","2215311","400554","798337","617807","True","True","False","0.00362614","A","bsd-3-clause"
"c-ares","c-ares/c-ares","https://github.com/c-ares/c-ares.git","","c/c++","1237988","0","1950818","480268","1555096","965772","True","True","True","0.00357143","A","mit"
"autoconf","","","","c/c++","707705","0","1420819","194673","792412","422916","True","True","False","0.00356095","A","gpl-3.0-or-later and (gpl-3.0-or-later with autoconf-exception-3.0)"
"libtasn1","","","","c/c++","796456","0","1861107","206521","434319","683879","True","True","False","0.00349405","A","lgpl-2.1-or-later"
"python@3.9","","","","c/c++","1488713","0","4272653","527040","680302","474857","True","True","False","0.00346718","A","python-2.0"
"python@3.11","","","","c/c++","1359832","0","1683606","1571411","1430574","753739","True","True","False","0.00316703","A","python-2.0"
"pango","","","","c/c++","1136114","0","1547861","314801","1251704","1430092","True","True","False","0.00316637","A","lgpl-2.0-or-later"
"openexr","AcademySoftwareFoundation/openexr","https://github.com/academysoftwarefoundation/openexr.git","","c/c++","1181137","0","1651312","694632","1129313","1249294","True","True","True","0.00313999","A","bsd-3-clause"
"cmake","Kitware/CMake","https://github.com/kitware/cmake.git","","c/c++","1332849","0","1440694","723699","1597582","1569424","True","True","False","0.00306507","A","bsd-3-clause"
"libxext","","","","c/c++","1047804","0","2029432","349622","1044767","767397","True","True","False","0.00305783","A","mit"
"pixman","","","","c/c++","1123316","0","2084098","345727","795323","1268116","True","True","False","0.00303875","A","mit"
"ffmpeg","","","","c/c++","1266137","0","1646538","425058","1479516","1513437","True","True","False","0.00301682","A","gpl-3.0-or-later"
"pyenv","pyenv/pyenv","https://github.com/pyenv/pyenv.git","","c/c++","1267218","0","1768041","579765","1395998","1325068","True","True","False","0.00299597","A","mit"
"libsodium","","","","c/c++","600436","0","1030897","182642","683730","504476","True","True","False","0.00299371","A","isc"
"mpfr","","","","c/c++","638726","0","1016267","499170","540738","498732","True","True","False","0.00298281","A","lgpl-3.0-or-later"
"oniguruma","kkos/oniguruma","https://github.com/kkos/oniguruma.git","","c/c++","696339","0","1316356","191075","589415","688510","True","True","False","0.00295158","A","bsd-2-clause"
"libomp","llvm/llvm-project","https://github.com/llvm/llvm-project.git","","c/c++","686364","0","1191879","263821","615592","674166","True","True","True","0.00290712","A","mit"
"protobuf","protocolbuffers/protobuf","https://github.com/protocolbuffers/protobuf.git","","c/c++","1003974","0","1720022","347527","999370","948979","True","True","False","0.00289168","A","bsd-3-clause"
"nettle","","","","c/c++","1036662","0","2115504","436424","762564","832156","True","True","False","0.00288404","A","gpl-2.0-or-later or lgpl-3.0-or-later"
"ruby","","","","rust","802348","0","1362620","350990","769299","726483","True","False","False","0.00279634","A","ruby"
"graphite2","silnrsi/graphite","https://github.com/silnrsi/graphite.git","","c/c++","710634","0","1313322","277270","611513","640434","True","True","False","0.00278405","A","mit or mpl-2.0 or lgpl-2.1-or-later or gpl-2.0-or-later"
"p11-kit","p11-glue/p11-kit","https://github.com/p11-glue/p11-kit.git","","c/c++","965128","0","1869734","366660","884433","739688","True","True","True","0.00271604","A","bsd-3-clause"
"gh","cli/cli","https://github.com/cli/cli.git","","go","1169690","0","1189319","394493","1302431","1792519","True","False","False","0.00268987","A","mit"
"ruby-build","rbenv/ruby-build","https://github.com/rbenv/ruby-build.git","","c/c++","846438","0","1827694","233082","759227","565752","True","True","False","0.00264857","A","mit"
"go","","","","c/c++","1047691","0","1392512","513029","1056974","1228249","True","True","False","0.00262391","A","bsd-3-clause"
"libxrender","","","","c/c++","944970","0","1919330","337371","646979","876200","True","True","False","0.00261935","A","mit"
"libssh2","","","","c/c++","621327","0","982403","376427","585136","541342","True","True","False","0.00260463","A","bsd-3-clause"
"curl","","","","c/c++","1060193","0","1728841","561696","1022060","928175","True","True","False","0.00254124","A","curl"
"highway","google/highway","https://github.com/google/highway.git","","c/c++","912315","0","1811891","502613","779193","555564","True","True","False","0.00250336","A","apache-2.0 or bsd-3-clause"
"fmt","fmtlib/fmt","https://github.com/fmtlib/fmt.git","","c/c++","290346","0","495382","124044","253340","288618","True","True","True","0.00249133","A","mit"
"certifi","certifi/python-certifi","https://github.com/certifi/python-certifi.git","","python","666535","0","0","0","595710","737361","True","False","False","0.00246337","A","mpl-2.0"
"fribidi","fribidi/fribidi","https://github.com/fribidi/fribidi.git","","c/c++","737907","0","1253493","297730","835076","565329","True","True","True","0.00243990","A","gpl-2.0-or-later and lgpl-2.1-or-later"
"gflags","gflags/gflags","https://github.com/gflags/gflags.git","","c/c++","142983","0","325432","70371","100521","75611","True","True","False","0.00226370","A","bsd-3-clause"
"tesseract","tesseract-ocr/tesseract","https://github.com/tesseract-ocr/tesseract.git","","c/c++","913768","0","1155915","423580","1101000","974577","True","True","True","0.00224284","A","apache-2.0"
"openjpeg","uclouvain/openjpeg","https://github.com/uclouvain/openjpeg.git","","c/c++","783774","0","1345543","331967","733360","724229","True","True","True","0.00223653","A","bsd-2-clause"
"imagemagick","ImageMagick/ImageMagick","https://github.com/imagemagick/imagemagick.git","","c/c++","945142","0","1573486","452619","912693","841772","True","True","True","0.00218851","A","imagemagick"
"php","","","","c/c++","694800","0","1215858","339546","674686","549111","True","True","False","0.00216272","A","php-3.01 and zend-2.0 and bsl-1.0 and mit and apache-1.0 and apache-2.0 and bcrypt-solar-designer and bsd-2-clause-darwin and bsd-2-clause and bsd-3-clause and bsd-4-clause-uc and isc and lgpl-2.1-only and lgpl-2.1-or-later and oldap-2.8 and tcl and zlib"
"wget","","","","c/c++","939560","0","1349795","556948","1137063","714436","True","True","False","0.00216065","A","gpl-3.0-or-later"
"folly","facebook/folly","https://github.com/facebook/folly.git","","c/c++","474026","0","927316","243649","432781","292358","True","True","False","0.00212755","A","apache-2.0"
"lzo","","","","c/c++","700894","0","1474981","266928","519068","542601","True","True","False","0.00210669","A","gpl-2.0-or-later"
"libpq","","","","c/c++","836096","0","1620325","375222","739242","609598","True","True","False","0.00205733","A","postgresql"
"zlib","","","","c/c++","890331","0","1142506","479277","999206","940336","True","True","False","0.00204744","A","zlib"
"boost","boostorg/boost","https://github.com/boostorg/boost.git","","c/c++","676969","0","1186242","266155","699669","555812","True","True","True","0.00203474","A","bsl-1.0"
"isl","","","","c/c++","583165","0","861913","386519","644438","439792","True","True","False","0.00199985","A","mit"
"libngtcp2","ngtcp2/ngtcp2","https://github.com/ngtcp2/ngtcp2.git","","c/c++","567026","0","0","0","0","567026","True","True","False","0.00197908","A","mit"
"libffi","libffi/libffi","https://github.com/libffi/libffi.git","","c/c++","677552","0","1511038","182403","431956","584813","True","True","False","0.00196978","A","mit"
"libarchive","","","","c/c++","696702","0","994020","269225","758878","764688","True","True","False","0.00192915","A","bsd-2-clause"
"gnupg","","","","c/c++","759991","0","915044","277128","972906","874887","True","True","False","0.00192685","A","gpl-3.0-or-later"
"openblas","OpenMathLib/OpenBLAS","https://github.com/openmathlib/openblas.git","","c/c++","361316","0","443342","155431","561969","284522","True","True","False","0.00187761","A","bsd-3-clause and bsd-2-clause-views and bsd-3-clause-open-mpi and bsd-2-clause"
"libavif","AOMediaCodec/libavif","https://github.com/aomediacodec/libavif.git","","c/c++","720852","0","1643271","189758","564943","485439","True","True","True","0.00187308","A","bsd-2-clause"
"jasper","jasper-software/jasper","https://github.com/jasper-software/jasper.git","","c/c++","691511","0","1617689","135907","563820","448629","True","True","False","0.00186608","A","jasper-2.0"
"dav1d","","","","c/c++","516721","0","855686","211908","539140","460153","True","True","False","0.00185596","A","bsd-2-clause"
"kubernetes-cli","kubernetes/kubernetes","https://github.com/kubernetes/kubernetes.git","","go","644483","0","1129092","289445","582207","577188","True","False","False","0.00182794","A","apache-2.0"
"unixodbc","","","","c/c++","385424","0","963355","170162","215943","192237","True","True","False","0.00178905","A","lgpl-2.1-or-later and gpl-2.0-or-later"
"guile","","","","c/c++","759055","0","2544603","83747","299488","108384","True","True","False","0.00174555","A","lgpl-3.0-or-later"
"coreutils","","","","c/c++","687007","0","836564","368299","656056","887112","True","True","False","0.00171706","A","gpl-3.0-or-later"
"libsndfile","libsndfile/libsndfile","https://github.com/libsndfile/libsndfile.git","","c/c++","494974","0","1131947","198779","262207","386964","True","True","True","0.00170687","A","lgpl-2.1-or-later"
"openldap","","","","c/c++","697337","0","1260672","372145","665088","491444","True","True","False","0.00170513","A","oldap-2.8"
"libmpc","","","","c/c++","435028","0","705552","291897","437753","304911","True","True","False","0.00165919","A","lgpl-3.0-or-later"
"librsvg","","","","rust","615170","0","981650","277157","660658","541215","True","False","False","0.00165549","A","lgpl-2.1-or-later"
"icu4c@76","unicode-org/icu","https://github.com/unicode-org/icu.git","","c/c++","717527","0","0","0","668916","766139","True","True","True","0.00165005","A","unicode-3.0"
"libheif","strukturag/libheif","https://github.com/strukturag/libheif.git","","c/c++","608208","0","988958","246537","635644","561696","True","True","True","0.00163639","A","lgpl-3.0-or-later"
"gdk-pixbuf","","","","c/c++","554524","0","954703","228928","497123","537343","True","True","False","0.00161961","A","lgpl-2.1-or-later"
"qtbase","","","","c/c++","16470","0","0","7","0","32934","True","True","False","0.00161677","A","(lgpl-3.0-only or gpl-2.0-only or gpl-3.0-only) and (gpl-3.0-only with qt-gpl-exception-1.0) and bsd-3-clause and gfdl-1.3-no-invariants-only"
"libusb","libusb/libusb","https://github.com/libusb/libusb.git","","c/c++","512095","0","1001176","130089","447295","469822","True","True","True","0.00160812","A","lgpl-2.1-or-later"
"x265","","https://bitbucket.org/multicoreware/x265_git.git","","c/c++","495571","0","647376","121813","655584","557512","True","True","False","0.00160611","A","gpl-2.0-or-later"
"leptonica","DanBloomberg/leptonica","https://github.com/danbloomberg/leptonica.git","","c/c++","565886","0","851886","278897","591485","541276","True","True","True","0.00158635","A","bsd-2-clause"
"libdeflate","ebiggers/libdeflate","https://github.com/ebiggers/libdeflate.git","","c/c++","288004","0","2208","1597","313603","834608","True","True","False","0.00155758","A","mit"
"llvm","llvm/llvm-project","https://github.com/llvm/llvm-project.git","","c/c++","577021","0","435771","210522","753028","908764","True","True","True","0.00155755","A","apache-2.0 with llvm-exception"
"snappy","google/snappy","https://github.com/google/snappy.git","","c/c++","554733","0","922280","274045","569337","453272","True","True","True","0.00155601","A","bsd-3-clause"
"gd","libgd/libgd","https://github.com/libgd/libgd.git","","c/c++","571656","0","1486602","306040","275198","218785","True","True","True","0.00151963","A","gd"
"bdw-gc","bdwgc/bdwgc","https://github.com/bdwgc/bdwgc.git","","c/c++","541194","0","1779047","99918","202660","83151","True","True","False","0.00149499","A","boehm-gc and hpnd-sell-variant"
"tcl-tk","","","","c/c++","504348","0","960431","357311","427978","271672","True","True","False","0.00148406","A","tcl"
"freetds","","","","c/c++","594619","0","1233605","269585","475801","399487","True","True","False","0.00146891","B","gpl-2.0-or-later"
"glog","google/glog","https://github.com/google/glog.git","","c/c++","184386","0","497458","74569","98435","67082","True","True","True","0.00145135","B","bsd-3-clause"
"apr","","","","c/c++","374074","0","899126","200448","204592","192133","True","True","False","0.00144304","B","apache-2.0"
"pycparser","eliben/pycparser","https://github.com/eliben/pycparser.git","","python","223211","0","268","168783","427309","296484","True","False","False","0.00142526","B","bsd-3-clause"
"fbthrift","facebook/fbthrift","https://github.com/facebook/fbthrift.git","","c/c++","453755","0","899984","235122","392440","287476","True","True","False","0.00140999","B","apache-2.0"
"flac","","","","c/c++","490471","0","1151948","183732","255828","370377","True","True","False","0.00138731","B","bsd-3-clause and gpl-2.0-or-later and isc and lgpl-2.0-or-later and lgpl-2.1-or-later and licenseref-homebrew-public-domain and (gpl-2.0-or-later or lgpl-2.1-or-later)"
"libassuan","","","","c/c++","262411","0","289328","88752","373921","297646","True","True","False","0.00138566","B","lgpl-2.1-or-later and gpl-3.0-or-later and fsfullr"
"mpg123","","","","c/c++","492407","0","550470","198574","647967","572619","True","True","False","0.00138139","B","lgpl-2.1-only"
"postgresql@14","","","","c/c++","599506","0","966920","304637","597494","528976","True","True","False","0.00137865","B","postgresql"
"libxml2","","","","c/c++","520962","0","745566","250964","577854","509466","True","True","False","0.00136222","B","mit"
"fb303","facebook/fb303","https://github.com/facebook/fb303.git","","c/c++","452539","0","893797","233536","401924","280902","True","True","False","0.00136024","B","apache-2.0"
"mbedtls","Mbed-TLS/mbedtls","https://github.com/mbed-tls/mbedtls.git","","c/c++","591402","0","1011338","229905","575274","549091","True","True","True","0.00136001","B","apache-2.0"
"openjph","aous72/OpenJPH","https://github.com/aous72/openjph.git","","c/c++","202308","0","0","0","439","404178","True","True","True","0.00135432","B","bsd-2-clause"
"fizz","facebookincubator/fizz","https://github.com/facebookincubator/fizz.git","","c/c++","455848","0","897633","224615","413239","287906","True","True","False","0.00134466","B","bsd-3-clause"
"mysql","mysql/mysql-server","https://github.com/mysql/mysql-server.git","","c/c++","578865","0","953693","286157","590294","485319","True","True","True","0.00133118","B","gpl-2.0-only with universal-foss-exception-1.0"
"graphviz","","https://gitlab.com/api/v4/projects/4207231/packages/generic/graphviz-releases/15.1.0/graphviz-15.1.0.tar.xz.git","","c/c++","546439","0","922829","258945","517273","486710","True","True","False","0.00132386","B","epl-1.0"
"libb2","BLAKE2/libb2","https://github.com/blake2/libb2.git","","c/c++","348950","0","617139","104256","318476","355929","True","True","False","0.00130976","B","cc0-1.0"
"opus","","","","c/c++","325404","0","464401","155549","410409","271260","True","True","False","0.00127618","B","bsd-3-clause"
"watchman","facebook/watchman","https://github.com/facebook/watchman.git","","rust","554324","0","892093","297559","564192","463453","True","False","False","0.00127475","B","mit"
"ghostscript","ArtifexSoftware/ghostpdl-downloads","https://github.com/artifexsoftware/ghostpdl-downloads.git","","c/c++","530114","0","896806","302235","525572","395846","True","True","False","0.00126259","B","agpl-3.0-or-later"
"gobject-introspection","","","","c/c++","522107","0","1231511","246608","347438","262874","True","True","False","0.00125478","B","gpl-2.0-or-later and lgpl-2.0-or-later and mit"
"libnghttp3","ngtcp2/nghttp3","https://github.com/ngtcp2/nghttp3.git","","c/c++","247118","0","0","0","19073","475164","True","True","False","0.00125256","B","mit"
"librist","","","","c/c++","538033","0","1068306","174933","507675","401219","True","True","False","0.00124537","B","bsd-2-clause"
"libvpx","webmproject/libvpx","https://github.com/webmproject/libvpx.git","","c/c++","418166","0","837238","128883","299486","407060","True","True","False","0.00123146","B","bsd-3-clause"
"hwloc","","","","c/c++","233406","0","247444","65355","379285","241543","True","True","False","0.00122807","B","bsd-3-clause"
"docker","docker/cli","https://github.com/docker/cli.git","","go","532299","0","707814","239614","518365","663406","True","False","False","0.00122410","B","apache-2.0"
"libass","libass/libass","https://github.com/libass/libass.git","","c/c++","523758","0","1016533","168937","545196","364369","True","True","True","0.00122381","B","isc"
"nspr","","","","c/c++","180335","0","403409","37807","116739","163386","True","True","False","0.00121255","B","mpl-2.0"
"rubberband","","","","c/c++","521210","0","1233867","245444","302391","303140","True","True","False","0.00121253","B","gpl-2.0-or-later"
"double-conversion","google/double-conversion","https://github.com/google/double-conversion.git","","c/c++","286751","0","666887","136324","152151","191642","True","True","True","0.00121149","B","bsd-3-clause"
"libfido2","Yubico/libfido2","https://github.com/yubico/libfido2.git","","c/c++","428495","0","996262","184873","352371","180475","True","True","True","0.00120594","B","bsd-2-clause"
"libsamplerate","libsndfile/libsamplerate","https://github.com/libsndfile/libsamplerate.git","","c/c++","291149","0","616921","123071","205001","219606","True","True","False","0.00120302","B","bsd-2-clause"
"z3","Z3Prover/z3","https://github.com/z3prover/z3.git","","c/c++","371464","0","276404","112337","510498","586619","True","True","False","0.00119701","B","mit"
"libcbor","PJK/libcbor","https://github.com/pjk/libcbor.git","","c/c++","295006","0","717435","100741","224915","136936","True","True","True","0.00119247","B","mit"
"svt-av1","","https://gitlab.com/aomediacodec/svt-av1.git","","c/c++","402269","0","239974","240854","557142","571106","True","True","False","0.00119010","B","bsd-3-clause"
"jq","jqlang/jq","https://github.com/jqlang/jq.git","","c/c++","517103","0","608777","250050","568956","640630","True","True","True","0.00118915","B","mit"
"netpbm","","","","c/c++","457559","0","875415","239127","359471","356225","True","True","False","0.00118466","B","gpl-3.0-or-later"
"libgit2","libgit2/libgit2","https://github.com/libgit2/libgit2.git","","c/c++","203009","0","70927","71862","364891","304356","True","True","True","0.00115946","B","gpl-2.0-only with gcc-exception-2.0"
"wangle","facebook/wangle","https://github.com/facebook/wangle.git","","c/c++","440946","0","896583","220266","389071","257867","True","True","False","0.00114714","B","apache-2.0"
"libvorbis","","","","c/c++","256517","0","493344","87499","211088","234138","True","True","False","0.00114641","B","bsd-3-clause"
"cryptography","","","","rust","376711","0","0","42","526478","603614","True","False","False","0.00112193","B","apache-2.0 or bsd-3-clause"
"numpy","","","","c/c++","440092","0","589182","144545","623393","403250","True","True","False","0.00111255","B","bsd-3-clause"
"helm","helm/helm","https://github.com/helm/helm.git","","go","454806","0","628822","200068","479448","510887","True","False","False","0.00111083","B","apache-2.0"
"nvm","nvm-sh/nvm","https://github.com/nvm-sh/nvm.git","","c/c++","481434","0","827523","235816","421318","441082","True","True","False","0.00110713","B","mit"
"lame","","","","c/c++","253156","0","454009","93265","219040","246312","True","True","False","0.00109886","B","lgpl-2.0-or-later"
"python-setuptools","","","","python","476082","0","0","0","590666","361498","True","False","False","0.00109482","B","mit"
"libksba","","","","c/c++","402629","0","832902","146345","403227","228045","True","True","False","0.00108966","B","lgpl-3.0-or-later or gpl-2.0-or-later"
"libgcrypt","","","","c/c++","374095","0","568298","160507","307085","460493","True","True","False","0.00108532","B","lgpl-2.1-or-later and gpl-2.0-or-later"
"libssh","","","","c/c++","405225","0","528589","131743","540928","419642","True","True","False","0.00108291","B","lgpl-2.1-or-later"
"x264","","https://code.videolan.org/videolan/x264.git","","c/c++","353427","0","795901","87923","246240","283645","True","True","False","0.00108258","B","gpl-2.0-or-later"
"srt","Haivision/srt","https://github.com/haivision/srt.git","","c/c++","464860","0","1012893","204712","305709","336128","True","True","False","0.00108060","B","mpl-2.0"
"libzip","","","","c/c++","388245","0","820296","180733","243219","308735","True","True","False","0.00107466","B","bsd-3-clause"
"cffi","","","","python","213268","0","172","177710","400680","274510","True","False","False","0.00107253","B","mit-0"
"libbluray","","","","c/c++","452628","0","1205830","111223","189370","304091","True","True","False","0.00105674","B","lgpl-2.1-or-later"
"rav1e","xiph/rav1e","https://github.com/xiph/rav1e.git","","rust","453835","0","932588","248632","294625","339496","True","False","False","0.00105175","B","bsd-2-clause"
"cjson","DaveGamble/cJSON","https://github.com/davegamble/cjson.git","","c/c++","333518","0","522199","137152","368120","306604","True","True","True","0.00104729","B","mit"
